date,tasa_de_interes,inflacion,tipo_de_cambio
2021-01-01,4.22,3.5350925812845713,19.921475
2021-02-01,4.12,3.759039751517923,20.309731578947368
2021-03-01,4.05,4.666878825885923,20.75545
2021-04-01,4.07,6.08481868469577,20.015285
2021-05-01,4.06,5.893822648405256,19.963128571428573
2021-06-01,4.02,5.878605622851163,20.03006818181818
2021-07-01,4.32,5.805815122296276,19.97010909090909
2021-08-01,4.46,5.592071717948954,20.076136363636365
2021-09-01,4.55,6.000147991934424,20.048690476190476
2021-10-01,4.84,6.239542537738796,20.462557142857143
2021-11-01,5.05,7.374880576174037,20.900425
2021-12-01,5.29,7.355107942638028,20.89184347826087
2022-01-01,5.53,7.070138825877881,20.49777142857143
2022-02-01,5.87,7.279973310972254,20.44952105263158
2022-03-01,6.31,7.453677207039644,20.556209090909093
2022-04-01,6.56,7.682502896871379,20.108805263157894
2022-05-01,6.91,7.652620998229853,20.030527272727273
2022-06-01,7.31,7.986338459360454,20.023736363636363
2022-07-01,7.76,8.150806636054941,20.546723809523808
2022-08-01,8.25,8.695423138043346,20.120930434782608
2022-09-01,8.7,8.699749565885107,20.07502380952381
2022-10-01,8.93,8.406815448118298,19.98454285714286
2022-11-01,9.42,7.796618869990768,19.444915
2022-12-01,9.96,7.817028676646087,19.592961904761903
2023-01-01,10.61,7.910035423128425,18.986336363636365
2023-02-01,10.92,7.618863516023566,18.59856842105263
2023-03-01,11.23,6.849258066395358,18.374904545454545
2023-04-01,11.29,6.252845400591012,18.085494444444446
2023-05-01,11.32,5.835302672241416,17.7373
2023-06-01,11.16,5.055553734718621,17.241204545454544
2023-07-01,11.22,4.78576308683345,16.904938095238094
2023-08-01,11.16,4.638013618409875,16.976643478260872
2023-09-01,11.08,4.4544878021369305,17.307690476190476
2023-10-01,11.08,4.2570005428015145,18.082331818181817
2023-11-01,10.89,4.323912474106528,17.376695
2023-12-01,11.21,4.660889640886157,17.18598947368421
2024-01-01,11.29,4.883929132374187,17.08731818181818
2024-02-01,11.05,4.400762226075017,17.089775
2024-03-01,11.02,4.4209394885854625,16.791788888888888
2024-04-01,10.97,4.65321003716026,16.81044090909091
2024-05-01,10.99,4.686768058461621,16.793563636363636
2024-06-01,10.97,4.9760556569485415,18.21737
2024-07-01,10.92,5.566163686040726,18.111691304347826
2024-08-01,10.76,4.992859624068879,19.151481818181818
2024-09-01,10.44,4.58038733476791,19.631629999999998
2024-10-01,10.24,4.761540169513578,19.70618181818182
2024-11-01,10.05,4.548670546616473,20.34549
2024-12-01,9.85,4.212339374343732,20.266055
2025-01-01,9.86,3.585039871214102,20.54901818181818
2025-02-01,9.45,3.7739095308981785,20.457136842105264
