date,tipo_de_cambio
2015-01,14.692585714285716
2015-02,14.921342105263157
2015-03,15.228338095238096
2015-04,15.22618
2015-05,15.26447
2015-06,15.483036363636364
2015-07,15.939582608695654
2015-08,16.536757142857144
2015-09,16.857761904761908
2015-10,16.564004545454544
2015-11,16.63568947368421
2015-12,17.066622727272726
2016-01,18.072775
2016-02,18.4731
2016-03,17.649045
2016-04,17.48767619047619
2016-05,18.154186363636367
2016-06,18.65296818181818
2016-07,18.601442857142857
2016-08,18.474865217391304
2016-09,19.192409523809523
2016-10,18.892414285714285
2016-11,20.118465
2016-12,20.52057619047619
2017-01,21.385272727272728
2017-02,20.29053684210526
2017-03,19.30102727272727
2017-04,18.78748333333333
2017-05,18.755663636363636
2017-06,18.132613636363637
2017-07,17.828338095238095
2017-08,17.807030434782607
2017-09,17.835652380952382
2017-10,18.816095454545454
2017-11,18.915785
2017-12,19.181221052631578
2018-01,18.90739090909091
2018-02,18.644936842105263
2018-03,18.630842105263156
2018-04,18.387185714285714
2018-05,19.590995454545453
2018-06,20.3032
2018-07,19.009518181818184
2018-08,18.85750869565217
2018-09,19.015430000000002
2018-10,19.185865217391303
2018-11,20.26117
2018-12,20.11117894736842
2019-01,19.1651
2019-02,19.20487894736842
2019-03,19.24774
2019-04,18.986349999999998
2019-05,19.119654545454548
2019-06,19.27447
2019-07,19.05339565217391
2019-08,19.685040909090908
2019-09,19.586505
2019-10,19.324182608695654
2019-11,19.332475
2019-12,19.107085
2020-01,18.804018181818183
2020-02,18.844321052631578
2020-03,22.3784
2020-04,24.26584
2020-05,23.42302
2020-06,22.29895909090909
2020-07,22.40328260869565
2020-08,22.207161904761907
2020-09,21.680980952380953
2020-10,21.270500000000002
2020-11,20.381915789473684
2020-12,19.96507727272727
2021-01,19.921475
2021-02,20.309731578947368
2021-03,20.75545
2021-04,20.015285
2021-05,19.963128571428573
2021-06,20.03006818181818
2021-07,19.97010909090909
2021-08,20.076136363636365
2021-09,20.048690476190476
2021-10,20.462557142857143
2021-11,20.900425
2021-12,20.89184347826087
2022-01,20.49777142857143
2022-02,20.44952105263158
2022-03,20.556209090909093
2022-04,20.108805263157894
2022-05,20.030527272727273
2022-06,20.023736363636363
2022-07,20.546723809523808
2022-08,20.120930434782608
2022-09,20.07502380952381
2022-10,19.98454285714286
2022-11,19.444915
2022-12,19.592961904761903
2023-01,18.986336363636365
2023-02,18.59856842105263
2023-03,18.374904545454545
2023-04,18.085494444444446
2023-05,17.7373
2023-06,17.241204545454544
2023-07,16.904938095238094
2023-08,16.976643478260872
2023-09,17.307690476190476
2023-10,18.082331818181817
2023-11,17.376695
2023-12,17.18598947368421
2024-01,17.08731818181818
2024-02,17.089775
2024-03,16.791788888888888
2024-04,16.81044090909091
2024-05,16.793563636363636
2024-06,18.21737
2024-07,18.111691304347826
2024-08,19.151481818181818
2024-09,19.631629999999998
2024-10,19.70618181818182
2024-11,20.34549
2024-12,20.266055
2025-01,20.54901818181818
2025-02,20.457136842105264
2025-03,20.27159090909091
